,lMtilde,force
0,0.3,0.0
1,0.30017001700170015,0.0
2,0.3003400340034003,0.0
3,0.3005100510051005,0.0
4,0.3006800680068007,0.0
5,0.30085008500850086,0.0
6,0.301020102010201,0.0
7,0.3011901190119012,0.0
8,0.30136013601360134,0.0
9,0.3015301530153015,0.0
10,0.30170017001700167,0.0
11,0.3018701870187019,0.0
12,0.30204020402040205,0.0
13,0.3022102210221022,0.0
14,0.3023802380238024,0.0
15,0.30255025502550253,0.0
16,0.3027202720272027,0.0
17,0.30289028902890286,0.0
18,0.3030603060306031,0.0
19,0.30323032303230324,0.0
20,0.3034003400340034,0.0
21,0.30357035703570356,0.0
22,0.3037403740374037,0.0
23,0.3039103910391039,0.0
24,0.30408040804080405,0.0
25,0.3042504250425042,0.0
26,0.30442044204420443,0.0
27,0.3045904590459046,0.0
28,0.30476047604760476,0.0
29,0.3049304930493049,0.0
30,0.3051005100510051,0.0
31,0.30527052705270524,0.0
32,0.3054405440544054,0.0
33,0.3056105610561056,0.0
34,0.3057805780578058,0.0
35,0.30595059505950595,0.0
36,0.3061206120612061,0.0
37,0.30629062906290627,0.0
38,0.30646064606460643,0.0
39,0.3066306630663066,0.0
40,0.3068006800680068,0.0
41,0.306970697069707,0.0
42,0.30714071407140714,0.0
43,0.3073107310731073,0.0
44,0.30748074807480746,0.0
45,0.3076507650765076,0.0
46,0.3078207820782078,0.0
47,0.307990799079908,0.0
48,0.30816081608160817,0.0
49,0.30833083308330833,0.0
50,0.3085008500850085,0.0
51,0.30867086708670866,0.0
52,0.3088408840884088,0.0
53,0.309010901090109,0.0
54,0.30918091809180914,0.0
55,0.30935093509350936,0.0
56,0.3095209520952095,0.0
57,0.3096909690969097,0.0
58,0.30986098609860985,0.0
59,0.31003100310031,0.0
60,0.31020102010201017,0.0
61,0.31037103710371033,0.0
62,0.31054105410541055,0.0
63,0.3107110711071107,0.0
64,0.3108810881088109,0.0
65,0.31105110511051104,0.0
66,0.3112211221122112,0.0
67,0.31139113911391136,0.0
68,0.3115611561156115,0.0
69,0.31173117311731174,0.0
70,0.3119011901190119,0.0
71,0.31207120712071207,0.0
72,0.31224122412241223,0.0
73,0.3124112411241124,0.0
74,0.31258125812581256,0.0
75,0.3127512751275127,0.0
76,0.31292129212921294,0.0
77,0.3130913091309131,0.0
78,0.31326132613261326,0.0
79,0.3134313431343134,0.0
80,0.3136013601360136,0.0
81,0.31377137713771375,0.0
82,0.3139413941394139,0.0
83,0.31411141114111407,0.0
84,0.3142814281428143,0.0
85,0.31445144514451445,0.0
86,0.3146214621462146,0.0
87,0.3147914791479148,0.0
88,0.31496149614961494,0.0
89,0.3151315131513151,0.0
90,0.31530153015301526,0.0
91,0.3154715471547155,0.0
92,0.31564156415641564,0.0
93,0.3158115811581158,0.0
94,0.31598159815981597,0.0
95,0.31615161516151613,0.0
96,0.3163216321632163,0.0
97,0.31649164916491646,0.0
98,0.3166616661666167,0.0
99,0.31683168316831684,0.0
100,0.317001700170017,0.0
101,0.31717171717171716,0.0
102,0.3173417341734173,0.0
103,0.3175117511751175,0.0
104,0.31768176817681765,0.0
105,0.31785178517851786,0.0
106,0.318021802180218,0.0
107,0.3181918191819182,0.0
108,0.31836183618361835,0.0
109,0.3185318531853185,0.0
110,0.3187018701870187,0.0
111,0.31887188718871884,0.0
112,0.319041904190419,0.0
113,0.3192119211921192,0.0
114,0.3193819381938194,0.0
115,0.31955195519551954,0.0
116,0.3197219721972197,0.0
117,0.31989198919891987,0.0
118,0.32006200620062003,0.0
119,0.32023202320232025,0.0
120,0.3204020402040204,0.0
121,0.3205720572057206,0.0
122,0.32074207420742074,0.0
123,0.3209120912091209,0.0
124,0.32108210821082106,0.0
125,0.3212521252125212,0.0
126,0.3214221422142214,0.0
127,0.3215921592159216,0.0
128,0.32176217621762176,0.0
129,0.3219321932193219,0.0
130,0.3221022102210221,0.0
131,0.32227222722272225,0.0
132,0.3224422442244224,0.0
133,0.3226122612261226,0.0
134,0.3227822782278228,0.0
135,0.32295229522952296,0.0
136,0.3231223122312231,0.0
137,0.3232923292329233,0.0
138,0.32346234623462344,0.0
139,0.3236323632363236,0.0
140,0.32380238023802377,0.0
141,0.323972397239724,0.0
142,0.32414241424142415,0.0
143,0.3243124312431243,0.0
144,0.3244824482448245,0.0
145,0.32465246524652464,0.0
146,0.3248224822482248,0.0
147,0.32499249924992496,0.0
148,0.3251625162516252,0.0
149,0.32533253325332534,0.0
150,0.3255025502550255,0.0
151,0.32567256725672566,0.0
152,0.3258425842584258,0.0
153,0.326012601260126,0.0
154,0.32618261826182615,0.0
155,0.3263526352635263,0.0
156,0.32652265226522653,0.0
157,0.3266926692669267,0.0
158,0.32686268626862686,0.0
159,0.327032703270327,0.0
160,0.3272027202720272,0.0
161,0.32737273727372734,0.0
162,0.3275427542754275,0.0
163,0.3277127712771277,0.0
164,0.3278827882788279,0.0
165,0.32805280528052805,0.0
166,0.3282228222822282,0.0
167,0.3283928392839284,0.0
168,0.32856285628562854,0.0
169,0.3287328732873287,0.0
170,0.3289028902890289,0.0
171,0.3290729072907291,0.0
172,0.32924292429242924,0.0
173,0.3294129412941294,0.0
174,0.32958295829582956,0.0
175,0.3297529752975297,0.0
176,0.3299229922992299,0.0
177,0.3300930093009301,0.0
178,0.33026302630263027,0.0
179,0.33043304330433043,0.0
180,0.3306030603060306,0.0
181,0.33077307730773076,0.0
182,0.3309430943094309,0.0
183,0.3311131113111311,0.0
184,0.33128312831283124,0.0
185,0.33145314531453146,0.0
186,0.3316231623162316,0.0
