,dx,dv
0,-0.9,0.0
1,-0.9,0.18
2,-0.8998200000000001,0.35963999999999996
3,-0.89946036,0.53888472
4,-0.8989214752799999,0.71769902256
5,-0.89820377625744,0.8960479195708799
6,-0.897307728337869,1.0738965789832262
7,-0.8962338317588858,1.2512103314928336
8,-0.894982621427393,1.4279546771816252
9,-0.8935546667502114,1.6040952921127405
10,-0.8919505714580986,1.7795980348785574
11,-0.8901709734232202,1.95442895310042
12,-0.8882165444701198,2.1285542898788634
13,-0.886087990180241,2.3019404901931297
14,-0.8837860496900478,2.474554207248792
15,-0.881311495482799,2.6463623087723036
16,-0.8786651331740266,2.817331883251319
17,-0.8758478012907753,2.987430246119622
18,-0.8728603710446556,3.1566249458855378
19,-0.86970374609877,3.324883770202698
20,-0.8663788623285673,3.4921747518820463
21,-0.8628866875766853,3.6584661748439955
22,-0.8592282214018413,3.8237265800096445
23,-0.8554044948218317,3.987924771129993
24,-0.8514165700507017,4.1510298205520995
25,-0.8472655402301495,4.3130110749211354
26,-0.8429525291552284,4.473838160817323
27,-0.8384786909944111,4.633480990326734
28,-0.8338452100040843,4.791909766544963
29,-0.8290533002375393,4.94909498901269
30,-0.8241042052485266,5.105007459082173
31,-0.8189991977894444,5.259618285213714
32,-0.8137395795042306,5.412898888201175
33,-0.8083266806160294,5.5648210063256185
34,-0.8027618596097038,5.715356700436173
35,-0.7970465029092676,5.864478358957242
36,-0.7911820245503104,6.012158702821181
37,-0.7851698658474892,6.158370790325601
38,-0.7790114950571636,6.303088021914448
39,-0.7727084070352491,6.446284144882052
40,-0.7662621228903671,6.587933257999337
41,-0.7596741896323678,6.7280098160614115
42,-0.7529461798163064,6.866488634355762
43,-0.7460796911819506,7.003344893050312
44,-0.7390763462889003,7.1385541415006015
45,-0.7319377921473997,7.2720923024753805
46,-0.7246656998449243,7.40393567629991
47,-0.7172617641686245,7.534060944916295
48,-0.7097277032237082,7.662445175860187
49,-0.7020652580478479,7.789065826153208
50,-0.6942761922216947,7.913900746110471
51,-0.6863622914755843,8.036928183062589
52,-0.6783253632925217,8.15812678499158
53,-0.6701672365075302,8.277475604080102
54,-0.66188976090345,8.394954100173448
55,-0.6534948068032765,8.510542144153792
56,-0.6449842646591227,8.62422002122614
57,-0.6363600446378966,8.735968434115513
58,-0.6276240762037811,8.845768506174862
59,-0.6187783076976062,8.953601784403268
60,-0.6098247059132029,9.059450242373984
61,-0.600765255670829,9.163296283071876
62,-0.5916019593877571,9.265122741639898
63,-0.5823368366461172,9.36491288803417
64,-0.572971923758083,9.462650429587324
65,-0.5635092733284958,9.558319513479766
66,-0.5539509538150159,9.651904729118506
67,-0.5442990490858974,9.743391110423271
68,-0.5345556579754741,9.832764138019604
69,-0.5247228938374545,9.92000974133866
70,-0.514802884096116,10.005114300623474
71,-0.5047977697954925,10.08806464884145
72,-0.494709705146651,10.168848073502865
73,-0.4845408570731481,10.24745231838519
74,-0.474293404754763,10.323865585163048
75,-0.46396953916959993,10.398076534943675
76,-0.4535714626346563,10.470074289707707
77,-0.4431013883449486,10.539848433655223
78,-0.4325615399112934,10.607389014456903
79,-0.4219541508968365,10.672686544410247
80,-0.4112814643524263,10.735732001500795
81,-0.4005457323509255,10.796516830368278
82,-0.3897492155205573,10.855032943177726
83,-0.3788941825773795,10.911272720395482
84,-0.367982909856984,10.965229011470168
85,-0.3570176808455139,11.016895135418624
86,-0.3460007857100952,11.06626488131689
87,-0.3349345208287783,11.113332508696276
88,-0.323821188320082,11.15809274784464
89,-0.31266309557223737,11.200540800012966
90,-0.3014625547722245,11.240672337527387
91,-0.29022188243469704,11.278483503806777
92,-0.2789433989308904,11.313970913286104
93,-0.26762942801760425,11.347131651245709
94,-0.2562822963663586,11.377963273546738
95,-0.2449043330928118,11.406463806272917
96,-0.23349786928653893,11.432631745278934
97,-0.22206523754125995,11.456466055645684
98,-0.2106087714856143,11.477966171042645
99,-0.1991308053145716,11.497131992997684
100,-0.18763367332157388,11.513963890074603
101,-0.17611970943149935,11.52846269695877
102,-0.16459124673454062,11.540629713451152
103,-0.15305061702108946,11.550466703371157
104,-0.14150015031771834,11.557975893368633
105,-0.12994217442434963,11.56315997164544
106,-0.11837901445270427,11.566022086587019
107,-0.10681299236611719,11.566565845304385
108,-0.09524642652081283,11.564795312087
109,-0.08368163120872585,11.560715006766989
110,-0.07212091620195893,11.5543299029952
111,-0.06056658629896372,11.545645426429601
112,-0.04902094087253417,11.534667452836535
113,-0.03748627341969757,11.521402306105369
114,-0.025964871113592247,11.505856756177097
115,-0.014459014357415145,11.488038016887462
116,-0.0029709763405277867,11.46795374372517
117,0.008496977403197548,11.445612031505824
118,0.019942589434703173,11.421021411962172
119,0.0313636108466655,11.394190851251308
120,0.04275780169791665,11.365129747379472
121,0.05412293144529623,11.33384792754513
122,0.06545677937284133,11.30035564540098
123,0.07675713501824233,11.26466357823561
124,0.08802179859647796,11.226782824075489
125,0.09924858142055348,11.186724898708043
126,0.11043530631926157,11.144501732626516
127,0.12157980805188795,11.10012566789741
128,0.13267993371978548,11.053609454951237
129,0.14373354317473663,11.004966249297377
130,0.1547385094240341,10.954209608163834
131,0.16569271903219773,10.9013534870627
132,0.17659407251926051,10.846412236282134
133,0.18744048475554265,10.789400597305718
134,0.19822988535284858,10.73033369916
135,0.20896021905200857,10.66922705469111
136,0.21962944610669966,10.606096556771325
137,0.2302355426634708,10.540958474436442
138,0.24077650113790727,10.473829448954875
139,0.2512503305868623,10.404726489829384
140,0.26165505707669157,10.333666970732352
