,lMtilde,lTtilde,vMtilde
0,0.3,0.985,0.0
1,0.31717171717171716,0.985,0.0
2,0.33434343434343433,0.985,0.0
3,0.3515151515151515,0.985,0.0
4,0.3686868686868687,0.985,0.0
5,0.38585858585858585,0.985,0.0
6,0.403030303030303,0.985,0.0
7,0.4202020202020202,0.985,0.0
8,0.43737373737373736,0.985,0.0
9,0.45454545454545453,0.985,-0.0032138693247828155
10,0.4717171717171717,0.985,-0.08666843156422768
11,0.4888888888888889,0.985,-0.24236006330849832
12,0.5060606060606061,0.985,-0.34232028098801154
13,0.5232323232323233,0.985,-0.4074319185100339
14,0.5404040404040404,0.985,-0.45473136825877625
15,0.5575757575757576,0.985,-0.4917361363452738
16,0.5747474747474748,0.985,-0.5221420445798216
17,0.591919191919192,0.985,-0.5479740361208302
18,0.6090909090909091,0.985,-0.5704257770948918
19,0.6262626262626263,0.985,-0.5902156249441025
20,0.6434343434343435,0.985,-0.6077631157555899
21,0.6606060606060606,0.985,-0.6232133659829054
22,0.6777777777777778,0.985,-0.636261655678644
23,0.694949494949495,0.985,-0.6458850054392042
24,0.7121212121212122,0.985,-0.6519328643383937
25,0.7292929292929293,0.985,-0.6561503253244777
26,0.7464646464646465,0.985,-0.6596545507561556
27,0.7636363636363637,0.985,-0.6628350333254243
28,0.7808080808080808,0.985,-0.6658371831598624
29,0.797979797979798,0.985,-0.6687251718092038
30,0.8151515151515152,0.985,-0.671531336014422
31,0.8323232323232324,0.985,-0.6742736203278997
32,0.8494949494949495,0.985,-0.6769625211422986
33,0.8666666666666667,0.985,-0.6796010908792216
34,0.8838383838383839,0.985,-0.6821867979753258
35,0.901010101010101,0.985,-0.6847124180725669
36,0.9181818181818182,0.985,-0.6871568681448784
37,0.9353535353535354,0.985,-0.6894392256033437
38,0.9525252525252526,0.985,-0.691139589913789
39,0.9696969696969697,0.985,-0.6916803203946866
40,0.9868686868686869,0.985,-0.6917591306505138
41,1.004040404040404,0.985,-0.6917727024188719
