time,xpbd_length,classic_length
0.0,0.1,0.1
0.01,0.09656690506716888,0.0965751370124472
0.02,0.09493988827930505,0.09495403279940282
0.03,0.09402278880454686,0.09404222005273848
0.04,0.09341016417996487,0.09343500816057829
0.05,0.09292419085469923,0.09295573978232977
0.060000000000000005,0.09243151612822013,0.09247250142100273
0.07,0.09183333543980936,0.09188719240757715
0.08,0.09105836063633836,0.0911268141485419
0.09,0.09007778067059731,0.09015705174722399
0.09999999999999999,0.08892565537700538,0.08900633799731124
0.10999999999999999,0.08767799684186739,0.08774959602149443
0.11999999999999998,0.08641751779051944,0.08647246196095688
0.12999999999999998,0.08521851915471183,0.0852544949090878
0.13999999999999999,0.0841444599419212,0.08416481593433078
0.15,0.08324941421632122,0.08326140264848392
0.16,0.08257944966756539,0.08259083065528766
0.17,0.08217433694259388,0.08219046130694418
0.18000000000000002,0.08208487311049358,0.08210919253497236
0.19000000000000003,0.08247037949929528,0.0825117622926732
0.20000000000000004,0.0836974602228348,0.08375397362014107
0.21000000000000005,0.08567075494118599,0.08573455298091857
0.22000000000000006,0.08828729582697455,0.0883516427592389
0.23000000000000007,0.09157602524300683,0.09163731841020342
0.24000000000000007,0.09543526302749157,0.09549715753864162
0.25000000000000006,0.09975433691802624,0.09982933259426345
0.26000000000000006,0.10443899914429551,0.10454504197561754
0.2700000000000001,0.10955404407715595,0.10971394277507994
0.2800000000000001,0.11518173455450234,0.11540529010274139
0.2900000000000001,0.12132282008040549,0.12161276716353589
0.3000000000000001,0.12768321453960008,0.12803945213556894
0.3100000000000001,0.13407460261753543,0.13449750155493947
0.3200000000000001,0.1403764036166713,0.1408596775401989
0.3300000000000001,0.14632261885895922,0.1468561984700328
0.34000000000000014,0.151700905417391,0.15228111715838294
0.35000000000000014,0.15636122672256264,0.15698498710366396
0.36000000000000015,0.16019161485143635,0.16084606725529696
0.37000000000000016,0.16309411567138712,0.16375424876625075
0.38000000000000017,0.16499180046936673,0.16562726819404044
0.3900000000000002,0.16587167807937134,0.16646025167761697
0.4000000000000002,0.16594039850495865,0.16647141261725787
0.4100000000000002,0.16511377908373107,0.16553008442478082
0.4200000000000002,0.16330655361572055,0.16362068658396148
0.4300000000000002,0.16080064899651247,0.16101841822488547
0.4400000000000002,0.15776348034476834,0.1578847282965168
0.45000000000000023,0.15434404970909846,0.15437101643847984
0.46000000000000024,0.15071867000257969,0.15065831344483716
0.47000000000000025,0.14705909187145688,0.14691764412099417
0.48000000000000026,0.143479267418249,0.14325979538904055
0.49000000000000027,0.14010165987497833,0.1398066430630486
0.5000000000000002,0.13705799565186785,0.13669057707614762
0.5100000000000002,0.13447098013018913,0.13403536773984095
0.5200000000000002,0.13242485441510565,0.13192093840062366
0.5300000000000002,0.13094916280285393,0.13037968261811803
0.5400000000000003,0.13006833243008908,0.1294465901608638
0.5500000000000003,0.12979785773507824,0.12913657273066548
0.5600000000000003,0.13010049721893932,0.1294177136006511
0.5700000000000003,0.1308552618043418,0.13017408651801388
0.5800000000000003,0.13200883395564536,0.13134530706553288
0.5900000000000003,0.13358282686312717,0.13293653487696772
0.6000000000000003,0.13554559668230232,0.13493061236295187
0.6100000000000003,0.1377504723098615,0.1371738789954731
0.6200000000000003,0.14007351212888128,0.1395377237171892
0.6300000000000003,0.14240213365853474,0.14191067238669086
0.6400000000000003,0.1445645495583786,0.14412447705876066
0.6500000000000004,0.14639108938009723,0.1460069493887528
0.6600000000000004,0.14776810547909397,0.1474436623843824
0.6700000000000004,0.14862295760214145,0.1483601315353416
0.6800000000000004,0.1489915470200357,0.14877702783016117
0.6900000000000004,0.14901527426854136,0.14883952315097124
0.7000000000000004,0.14862938880643933,0.14850759165267532
0.7100000000000004,0.147718931609435,0.14766734481638066
0.7200000000000004,0.14634905597530232,0.14635759386229005
0.7300000000000004,0.14470576822776474,0.14476041121342004
0.7400000000000004,0.14292197164731013,0.14301187426146442
0.7500000000000004,0.14108911187804493,0.14120215722274326
0.7600000000000005,0.13928221617734296,0.13940389885278426
0.7700000000000005,0.13756930527002123,0.1376840412071477
0.7800000000000005,0.1360136018001579,0.13610730781338554
0.7900000000000005,0.1346732498592587,0.1347359141871548
0.8000000000000005,0.13360070400756238,0.1336274782974357
0.8100000000000005,0.13284170825515573,0.13283146685691086
0.8200000000000005,0.13243433833376506,0.1323863589702223
0.8300000000000005,0.13242986867687992,0.1323387976201173
0.8400000000000005,0.13294528767781136,0.13280101620580997
0.8500000000000005,0.13397112291278507,0.13378866027332265
0.8600000000000005,0.13536812425818234,0.13515616388843657
0.8700000000000006,0.13708342521207545,0.1368415814962378
0.8800000000000006,0.1391021423965174,0.13882842128347933
0.8900000000000006,0.14138964701850382,0.14108556761926563
